Text,Keyword,Related Terms,keyword_id,sentiment_score
"Launching the first Bsky #wipwednesday with a snippet from the next chapter of ""chocolate lips"".",chocolate,"Chocolate,Charlie and the Chocolate Factory,Chocolate,Dark chocolate,Hot chocolate",5566,0.0
But will the chocolate pudding in the Pentagon be safe?🤔,chocolate,"Chocolate,Charlie and the Chocolate Factory,Chocolate,Dark chocolate,Hot chocolate",5566,0.5927
"A fandom friend (atheist in a very religious part of the US) decided to introduce her kiddo to Christianity ahead of them starting school. So at Easter time she got a big chocolate cross to be a conversation starter. Kiddo was unimpressed; ""I know what that is. Buffy uses them to kill vampires.""",chocolate,"Chocolate,Charlie and the Chocolate Factory,Chocolate,Dark chocolate,Hot chocolate",5566,-0.5994
"Ahhh it's reassuring to hear that I'm not the only one!! We've fallen off the wayside on decorating too, but not this year!!! It's gonna be hot chocolate, tunes, and annoying amounts of tinsel! I hope you enjoy the season as well!",chocolate,"Chocolate,Charlie and the Chocolate Factory,Chocolate,Dark chocolate,Hot chocolate",5566,0.8597
He's a joke too. He's detestable. This is like comparing garbage and garbage with chocolate sprinkles.,chocolate,"Chocolate,Charlie and the Chocolate Factory,Chocolate,Dark chocolate,Hot chocolate",5566,0.5719
"What? Shut up. How dare you? You’re the one who just opened a new box of dark chocolate espresso beans that was reachable from your chair rather than stand up and walk two steps to get to the already open box, not me!",chocolate,"Chocolate,Charlie and the Chocolate Factory,Chocolate,Dark chocolate,Hot chocolate",5566,0.0
"Day 3: goat cheese (moldy, boo), ""mural of flavor"" (has three different types of onions in it so that's a pass from me), gummy orange slices, a chocolate orange truffle, and a Lego dog! Day 4: pesto cheese, curry powder, sour gummy bears, a caramel truffle, and a Lego skateboard/helmet set!",chocolate,"Chocolate,Charlie and the Chocolate Factory,Chocolate,Dark chocolate,Hot chocolate",5566,0.0
"I wish! I got them from the store but it basically has fudge in the middle, chocolate chips and marshmallow bits",chocolate,"Chocolate,Charlie and the Chocolate Factory,Chocolate,Dark chocolate,Hot chocolate",5566,0.2828
That is not spare chocolate either. 😂👍🏻,chocolate,"Chocolate,Charlie and the Chocolate Factory,Chocolate,Dark chocolate,Hot chocolate",5566,0.4404
hot chocolate lady 😅,chocolate,"Chocolate,Charlie and the Chocolate Factory,Chocolate,Dark chocolate,Hot chocolate",5566,0.3612
full of chocolate,chocolate,"Chocolate,Charlie and the Chocolate Factory,Chocolate,Dark chocolate,Hot chocolate",5566,0.0
Mint chocolate chip,chocolate,"Chocolate,Charlie and the Chocolate Factory,Chocolate,Dark chocolate,Hot chocolate",5566,0.0
"A unas carrilleras con vino tinto si le añades un par de onzas de chocolate negro...buah, quedan espectaculares.",chocolate,"Chocolate,Charlie and the Chocolate Factory,Chocolate,Dark chocolate,Hot chocolate",5566,0.0
