text,keyword
Em suma: eu uso Twitter/Bluesky pra falar sozinho enquanto reclamo das coisas. Achei bem preciso.,sky
Reziyさん こちらの可愛いお嬢さん～～～好～～～～～ ひらひらのお召し物も素敵です bsky.app/profile/nobl...,sky
"‼️ R.Gutiérrez popiera @efjeurope.bsky.social, krytykującą władze Francji za próbę narzucania cenzury na dziennikarzy śledczych. Czy wyobrażacie sobie ile byśmy nie wiedzieli, gdyby w Polsce była taka cenzura. PiS próbowało ją narzucić, ale dzięki 15.10. nie udało się. Ale dziennikarze nie śpią. 😉",sky
"@thatmumbojumbo.bsky.social mumbo, is the moon big?",sky
"Whatever that red sky portends, it is still magnificent!",sky
Fuck off bsky.app/profile/chic...,sky
"Speaking of laptops, though, I'm glad to report that Ungoliant has signaled her approval of my new notebook in the way she knows best: licking the plastic that borders the screen 🤷🏻‍♀️😸😽🖤🖤 #TongueOutTuesday #Cats #CatsOfBluesky",sky
"Exactly. And it's not just in the US: similar populist pronatalist right/far right views are gaining influence in many countries, joining up with dogma from various religions to push for retrograde policies. Isn't this a priority for a critical outlook? bsky.app/profile/wash...",sky
@bodhi504.bsky.social Thank you for your follow 🥰💙✌️,sky
"───✱*.｡:｡✱*.:｡✧*.｡✰*.:｡✧*.｡:｡*.｡✱ ─── good morning, bluesky i hope you all have a great day remember to stay hydrated! ily ❤️ ───✱*.｡:｡✱*.:｡✧*.｡✰*.:｡✧*.｡:｡*.｡✱ ───",sky
